Prix,Stock,Fabricant,Modèle,Série,Catégorie,Lien,Dispo occas,Lien petite annonce
1 535 ,En stock,Ibanez,EHB1505MS,EHB,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/ehb1505ms/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/ehb1505ms/petites-annonces/
1 499 ,En stock,Ibanez,EHB1505,EHB,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/ehb1505/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/ehb1505/petites-annonces/
1 679 ,Pas de stock,Ibanez,EHB1506MS,EHB,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/ehb1506ms/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/ehb1506ms/petites-annonces/
715 ,En stock,Ibanez,SR505E,SR Standard,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr505e/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr505e/petites-annonces/
519 ,En stock,Jackson,CBXNTM V,X,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/jackson/cbxntm-v/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/jackson/cbxntm-v/petites-annonces/
1 119 ,En stock,Ibanez,SRMS805,SR Workshop,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/srms805/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/srms805/petites-annonces/
445 ,En stock,Ibanez,SR375E,SR Standard,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr375e/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr375e/petites-annonces/
3 499 ,En stock,Music Man,StingRay Special 5 HH,StingRay,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/music-man/stingray-5-hh-2018-current/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/music-man/stingray-5-hh-2018-current/petites-annonces/
2 799 ,En stock,Ibanez,ANB306 Adam Nitti Signature,Signature,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/anb306/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/anb306/petites-annonces/
979 ,En stock,Ibanez,BTB845,BTB Standard,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/btb845/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/btb845/petites-annonces/
2 299 ,En stock,Fender,American Professional Jazz Bass V,American Professional Jazz Bass Series,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/fender/american-professional-jazz-bass-v/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/fender/american-professional-jazz-bass-v/petites-annonces/
2 559 ,Pas de stock,Ibanez,SR5006,SR Prestige,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr-prestige-sr5006/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr-prestige-sr5006/petites-annonces/
306.43 ,En stock,Ibanez,GSR205B,GIO Soundgear,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/gsr205b/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/gsr205b/petites-annonces/
